"","pred","se"
"1",91.6200918324245,5.00842249605349
"2",90.9078864018732,8.14788127295788
"3",90.0119309695683,10.4493891596902
"4",89.2144283841163,12.2694410897774
"5",88.5037844909363,13.77111638268
"6",87.7137725073442,14.9867721894917
"7",86.990475622852,16.0123674237462
"8",86.3707824701934,16.9119539282644
"9",85.7039371888994,17.6793785912456
"10",85.0641367553045,18.3434057375251
"11",84.5208335684537,18.9398344689701
"12",83.9584794744025,19.4630191371374
"13",83.3985286922965,19.9206647027257
"14",82.9191116805801,20.3352844407075
"15",82.4430299610138,20.7054815969938
"16",81.9573492524362,21.0315430449623
"17",81.5332104486785,21.3275317840426
"18",81.1276532922446,21.5949846672445
"19",80.7093941772809,21.8319920283409
"20",80.3344542907775,22.046919832735
"21",79.9864647272042,22.2426510567922
"22",79.6280443561191,22.4171717872615
"23",79.2976475818724,22.5751129385195
"24",78.9969445693314,22.7196061196196
"25",78.6906049839089,22.8492427742678
"26",78.4007823746915,22.9663443587094
"27",78.1394096497409,23.0736932403692
"28",77.87769409389,23.1705785883818
"29",77.6247407629377,23.2580021759649
"30",77.3966143722725,23.3381594142623
"31",77.172705940296,23.4108893283552
"32",76.9529921019857,23.4765165940557
"33",76.7534430061582,23.5366291685963
"34",76.5613565020817,23.5914127336752
"35",76.3712915147966,23.6408991339256
"36",76.1966626108686,23.6861563939916
"37",76.0313086061916,23.7275396544275
"38",75.8673888609704,23.7649945639921
"39",75.7147146702988,23.7991934089315
"40",75.5718681182193,23.8305356728321
"41",75.4307568364415,23.8589753861515
"42",75.2975312724935,23.8849097475154
"43",75.1737397213644,23.9087086634056
"44",75.0523445926066,23.9303653106551
"45",74.936367779051,23.9501006011738
"46",74.8288302500526,23.9682205788491
"47",74.7243603809421,23.9847568122209
"48",74.6236482132427,23.9998261103322
"49",74.5300885483776,24.0136624576674
"50",74.4400840085245,24.026323082922
"51",74.3528222250904,24.037868658947
"52",74.2713726580634,24.0484674527788
"53",74.1937077466473,24.0581880713391
"54",74.1182338074945,24.0670641024154
"55",74.0473372418979,24.0752106884407
"56",73.9802029158283,24.0826965383154
"57",73.9150023340247,24.0895439888574
"58",73.8533361362782,24.0958287541388
"59",73.7952086437348,24.1016125636511
"60",73.7389163312925,24.1069139862495
"61",73.685336587636,24.1117814125398
"62",73.6349391264131,24.1162662478449
"63",73.5863399801486,24.1203860444421
"64",73.5398429809733,24.1241713460163
"65",73.4961059488548,24.1276625749837
"66",73.4541318671593,24.1308766974645
"67",73.4138287241075,24.133833194883
"68",73.3758524742025,24.1365624569086
"69",73.3395751060749,24.139080412196
"70",73.3046754706541,24.1413999821858
"71",73.2716978561745,24.1435432248397
"72",73.2403176769231,24.1455244503156
"73",73.210119132342,24.1473528021361
